MunicipCode,pan.vote.09,marginality.06,PAN.governor.06,PAN.visits.06
14015,0.368,-1.402,1,0
14016,0.544,-0.595,1,0
14017,0.715,-0.837,1,0
14018,0.393,-1.043,1,0
14019,0.471,1.378,1,0
14020,0.446,0.162,1,0
14021,0.32,-1.031,1,0
14022,0.572,-1.118,1,0
14023,,-1.595,1,0
14024,0.363,-1.059,1,0
14025,0.472,-1.172,1,0
14026,0.425,-0.67,1,0
14027,0.52,0.803,1,0
14028,0.594,-0.485,1,0
14029,0.138,0.048,1,0
14030,0.384,-1.441,1,0
14031,0.488,0.992,1,0
14032,0.224,-0.268,1,0
14033,0.379,-0.746,1,0
14034,0.484,-0.632,1,0
14035,0.385,-0.746,1,0
14036,0.328,-1.276,1,0
14037,0.353,-1.222,1,0
14038,0.332,-0.185,1,0
14039,0.33,-1.976,1,3
14040,0.321,-0.149,1,0
14041,0.36,-0.678,1,0
14042,0.478,-0.107,1,0
14043,0.407,-0.755,1,0
14044,0.276,-1.218,1,0
14045,0.27,-0.367,1,0
14046,0.35,-1.031,1,0
14047,0.326,-1.117,1,0
14048,0.547,-0.488,1,0
14049,0.332,0.399,1,0
14050,0.31,-0.993,1,0
14051,0.296,-1.39,1,0
14052,0.464,-0.609,1,0
14053,0.321,-0.964,1,0
14054,0.414,-0.834,1,0
14055,0.419,-1.138,1,0
14056,0.445,0.861,1,0
14057,0.418,-0.823,1,0
14058,0.397,-1.025,1,0
14059,0.209,-1.015,1,0
14060,0.426,-0.541,1,0
14061,0.461,2.612,1,0
14062,0.503,-0.423,1,0
14063,0.248,-1.438,1,0
14064,0.472,-0.325,1,0
14065,0.447,-0.522,1,0
14066,0.225,-0.762,1,0
14067,0.396,-1.724,1,1
14068,0.456,0.013,1,0
14069,0.365,0.017,1,0
14070,,-1.3,1,0
14071,0.366,-0.037,1,0
14072,0.5,-0.5,1,0
14073,0.294,-1.026,1,0
14074,0.515,-1.324,1,0
14075,0.319,-0.738,1,0
14076,0.307,-0.191,1,0
14077,0.295,-1.024,1,0
14078,0.38,-1.086,1,0
14079,0.275,-0.659,1,0
14080,0.173,-0.102,1,0
14081,0.495,-0.289,1,0
14082,0.301,-1.296,1,0
14083,0.261,-1.219,1,0
14084,0.394,-0.532,1,0
14085,0.446,-0.949,1,0
14086,0.258,-0.226,1,0
14087,0.445,-0.625,1,0
14088,0.4,-0.974,1,0
14089,0.285,-0.65,1,0
14090,0.463,-0.715,1,0
14091,0.465,-0.741,1,0
14092,0.557,-0.483,1,0
14093,0.408,-1.338,1,0
14094,0.415,-0.954,1,0
14095,0.21,-0.941,1,0
14096,0.478,-0.879,1,0
14097,0.291,-1.39,1,0
14098,0.364,-1.592,1,0
14099,0.463,-0.003,1,0
14100,0.248,-0.301,1,0
14101,0.3,-1.44,1,0
14102,0.567,-0.667,1,0
14103,0.283,-0.79,1,0
14104,0.423,-0.533,1,0
14105,0.389,-0.81,1,0
14106,0.339,-0.175,1,0
14107,0.312,-0.717,1,0
14108,0.326,-1.097,1,0
14109,0.447,-0.467,1,0
14110,0.448,-1.179,1,0
14111,0.582,-0.851,1,0
14112,0.46,-0.738,1,0
14113,0.232,-0.418,1,0
14114,0.277,-1.037,1,0
14115,0.467,0.145,1,0
14116,0.308,-1.057,1,0
14117,0.397,-0.489,1,0
14118,0.623,-0.845,1,0
14119,0.328,-0.893,1,0
14120,0.361,-1.882,1,0
14121,0.353,-1.229,1,0
14122,0.447,0.272,1,0
14123,0.396,-0.431,1,0
14124,0.435,-0.919,1,0
14125,,,1,
15001,0.352,0.248,0,0
15002,0.086,-1.391,0,0
